Item1,Item2
31.762784,637933896761256064
31.85712,637933896762196352
31.96064,637933896763236736
32.020672,637933896763836032
32.125792,637933896764886400
32.351584,637933896767145600
32.39104,637933896767537408
32.509312,637933896768716416
32.576544,637933896769396352
32.69024,637933896770526464
32.756256,637933896771187328
32.865248,637933896772276480
32.941696,637933896773047040
33.026464,637933896773887744
33.123872,637933896774866560
33.520832,637933896778837888
33.628576,637933896779918080
33.713088,637933896780757632
33.803776,637933896781667584
33.89744,637933896782608128
34.005696,637933896783686912
34.074688,637933896784378880
34.21536,637933896785779968
34.74096,637933896791038976
34.837888,637933896792008320
34.94368,637933896793069312
35.030848,637933896793938176
35.133536,637933896794968320
35.223648,637933896795868800
35.322912,637933896796859264
35.434624,637933896797979520
35.738752,637933896801021312
35.8344,637933896801969664
35.94832,637933896803109888
36.02688,637933896803900800
36.1352,637933896804980352
36.21104,637933896805739776
36.308736,637933896806719616
36.425536,637933896807891072
36.52016,637933896808830464
36.834688,637933896811980672
37.002176,637933896813650944
37.214304,637933896815769984
37.327136,637933896816901248
37.446688,637933896818101376
37.53648,637933896819001600
37.630048,637933896819931264
37.724928,637933896820881664
37.811648,637933896821751552
37.907104,637933896822701824
37.992032,637933896823551488
38.093536,637933896824571136
38.1904,637933896825532928
38.280576,637933896826443264
38.376896,637933896827403008
38.471456,637933896828351104
38.556192,637933896829192320
38.662848,637933896830263296
38.751008,637933896831142400
38.84992,637933896832132608
38.94656,637933896833102848
39.04464,637933896834083584
39.146336,637933896835092736
39.233216,637933896835964288
39.313792,637933896836773760
39.64336,637933896840065152
39.780992,637933896841445120
40.013184,637933896843764224
40.119456,637933896844834688
40.855584,637933896852194816
40.969248,637933896853324544
41.079616,637933896854435456
41.171232,637933896855345408
41.296512,637933896856606080
41.400608,637933896857645056
41.547744,637933896859115008
41.620288,637933896859835776
41.75312,637933896861165696
41.855136,637933896862185728
41.972192,637933896863356288
42.0728,637933896864366592
42.4384,637933896868016256
42.5944,637933896869586048
42.879488,637933896872436608
43.017088,637933896873806336
43.384064,637933896877477504
43.576544,637933896879407232
43.769376,637933896881328128
43.90336,637933896882669568
44.193184,637933896885568512
44.330816,637933896886948096
44.944544,637933896893090688
45.047264,637933896894108672
45.340544,637933896897048960
45.441504,637933896898059008
45.53344,637933896898970368
45.660832,637933896900249984
45.72352,637933896900879616
45.85328,637933896902169472
46.03504,637933896903991424
46.213696,637933896905779584
46.402592,637933896907670144
46.546784,637933896909109888
46.676224,637933896910401024
46.80032,637933896911640576
46.906272,637933896912700800
47.03184,637933896913960448
47.130336,637933896914940160
47.249312,637933896916130304
47.401312,637933896917651968
47.522816,637933896918871040
47.71152,637933896920761216
47.85408,637933896922181504
47.982208,637933896923462656
48.126528,637933896924912384
48.254304,637933896926182016
48.388416,637933896927534208
48.493248,637933896928572032
48.618592,637933896929832320
48.755808,637933896931202688
48.855232,637933896932192640
48.97808,637933896933423360
49.087328,637933896934512896
49.217312,637933896935812992
49.337216,637933896937012736
49.470528,637933896938353408
49.576416,637933896939403776
49.684512,637933896940493056
49.821888,637933896941864448
49.936416,637933896943013376
50.04256,637933896944073984
50.195264,637933896945594624
50.315296,637933896946795136
50.783968,637933896951485184
50.950688,637933896953154560
51.373184,637933896957375488
51.50864,637933896958735872
51.668448,637933896960328064
51.846176,637933896962104960
52.055488,637933896964205184
52.215392,637933896965795456
52.571456,637933896969364992
52.704224,637933896970686976
52.9088,637933896972737536
53.056064,637933896974207232
53.374176,637933896977386880
53.510816,637933896978757632
56.369216,637933897007340800
56.494208,637933897008590976
56.769472,637933897011350528
56.887296,637933897012521344
56.967168,637933897013320576
57.08944,637933897014550784
57.722528,637933897020883840
57.805984,637933897021712000
58.181408,637933897025462272
58.324704,637933897026901888
58.808928,637933897031743360
58.976704,637933897033423744
59.339264,637933897037043072
